field_id,lat,lon,date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M
MI2600001,43.1982,-82.4189,2024-05-01,14.15,22.52,6.64,0.45,20.25,72.16
MI2600001,43.1982,-82.4189,2024-05-02,12.43,17.75,6.88,0.31,24.93,74.56
MI2600001,43.1982,-82.4189,2024-05-03,14.62,20.42,10.81,5.43,10.19,80.14
MI2600001,43.1982,-82.4189,2024-05-04,15.93,21.76,10.28,1.64,19.75,84.13
MI2600001,43.1982,-82.4189,2024-05-05,12.73,17.44,5.9,1.14,14.98,85.29
MI2600001,43.1982,-82.4189,2024-05-06,9.73,15.99,4.57,0.56,21.5,69.64
MI2600001,43.1982,-82.4189,2024-05-07,13.21,20.58,4.84,3.98,19.14,69.51
MI2600001,43.1982,-82.4189,2024-05-08,13.95,21.03,7.96,3.21,21.67,78.84
MI2600001,43.1982,-82.4189,2024-05-09,10.15,15.71,6.85,0.1,14.92,79.49
MI2600001,43.1982,-82.4189,2024-05-10,10.96,15.92,4.87,0.06,27.5,68.15
MI2600001,43.1982,-82.4189,2024-05-11,10.79,13.87,7.74,3.22,8.85,81.82
MI2600001,43.1982,-82.4189,2024-05-12,12.53,19.29,6.51,2.05,25.42,71.81
MI2600001,43.1982,-82.4189,2024-05-13,17.64,23.14,12.4,2.38,20.71,75.34
MI2600001,43.1982,-82.4189,2024-05-14,11.82,15.3,8.33,1.14,12.63,78.93
MI2600001,43.1982,-82.4189,2024-05-15,12.25,18.52,8.29,0.24,24.52,74.38
MI2600001,43.1982,-82.4189,2024-05-16,15.8,23.2,7.07,1.35,25.18,70.42
MI2600001,43.1982,-82.4189,2024-05-17,17.31,22.27,13.39,8.16,18.51,83.96
MI2600001,43.1982,-82.4189,2024-05-18,19.15,24.93,13.65,1.7,21.1,79.3
MI2600001,43.1982,-82.4189,2024-05-19,18.89,26.31,13.19,0.66,25.29,81.54
MI2600001,43.1982,-82.4189,2024-05-20,20.36,26.96,14.06,3.39,18.66,77.67
MI2600001,43.1982,-82.4189,2024-05-21,21.68,26.8,17.42,4.66,19.24,78.11
MI2600001,43.1982,-82.4189,2024-05-22,21.7,26.57,15.09,0.59,22.22,74.96
MI2600001,43.1982,-82.4189,2024-05-23,18.17,23.97,11.96,0.94,28.35,64.37
MI2600001,43.1982,-82.4189,2024-05-24,17.95,24.04,11.82,0.19,26.75,65.84
MI2600001,43.1982,-82.4189,2024-05-25,18.4,23.78,12.8,2.83,20.68,75.31
MI2600001,43.1982,-82.4189,2024-05-26,17.71,24.04,11.36,3.98,21.39,71.39
MI2600001,43.1982,-82.4189,2024-05-27,17.45,21.11,13.79,10.71,9.38,86.59
MI2600001,43.1982,-82.4189,2024-05-28,15.21,18.42,12.92,8.04,19.33,86.64
MI2600001,43.1982,-82.4189,2024-05-29,12.93,16.95,7.89,1.82,28.19,72.75
MI2600001,43.1982,-82.4189,2024-05-30,12.74,18.27,6.8,0.03,31.13,61.44
MI2600001,43.1982,-82.4189,2024-05-31,15.94,23.03,8.09,0.0,30.66,51.32
MI2600001,43.1982,-82.4189,2024-06-01,16.45,21.9,10.31,0.56,21.97,63.34
MI2600001,43.1982,-82.4189,2024-06-02,17.77,23.15,13.01,4.24,9.24,85.14
MI2600001,43.1982,-82.4189,2024-06-03,18.13,24.06,11.57,0.09,20.71,75.53
MI2600001,43.1982,-82.4189,2024-06-04,21.54,27.59,15.57,0.45,24.19,76.22
MI2600001,43.1982,-82.4189,2024-06-05,21.05,24.56,16.87,3.51,13.59,87.59
MI2600001,43.1982,-82.4189,2024-06-06,18.45,23.21,14.56,4.86,22.93,73.34
MI2600001,43.1982,-82.4189,2024-06-07,16.31,19.81,12.92,0.72,14.41,74.19
MI2600001,43.1982,-82.4189,2024-06-08,16.57,22.18,11.26,4.25,13.32,74.89
MI2600001,43.1982,-82.4189,2024-06-09,15.85,21.51,11.44,6.79,16.71,77.54
MI2600001,43.1982,-82.4189,2024-06-10,12.88,16.18,9.66,3.29,24.02,69.69
MI2600001,43.1982,-82.4189,2024-06-11,15.27,20.34,7.99,0.0,30.23,63.1
MI2600001,43.1982,-82.4189,2024-06-12,19.88,26.15,12.33,0.35,26.94,66.65
MI2600001,43.1982,-82.4189,2024-06-13,22.48,28.21,17.78,0.84,21.48,76.15
MI2600001,43.1982,-82.4189,2024-06-14,18.3,22.95,13.21,5.09,29.13,72.69
MI2600001,43.1982,-82.4189,2024-06-15,16.55,21.4,11.12,0.0,29.74,67.44
MI2600001,43.1982,-82.4189,2024-06-16,19.66,25.76,13.24,0.04,27.15,60.0
MI2600001,43.1982,-82.4189,2024-06-17,23.72,28.28,18.2,2.5,23.03,81.0
MI2600001,43.1982,-82.4189,2024-06-18,24.59,27.63,21.69,1.09,21.42,83.94
MI2600001,43.1982,-82.4189,2024-06-19,26.01,30.12,21.82,2.64,19.12,74.2
MI2600001,43.1982,-82.4189,2024-06-20,22.82,28.81,17.29,6.59,24.0,82.22
MI2600001,43.1982,-82.4189,2024-06-21,23.8,29.46,17.36,8.89,20.94,80.37
MI2600001,43.1982,-82.4189,2024-06-22,24.79,29.22,20.03,4.92,15.92,79.33
MI2600001,43.1982,-82.4189,2024-06-23,22.51,25.03,18.55,7.04,15.28,79.58
MI2600001,43.1982,-82.4189,2024-06-24,21.16,25.86,16.13,0.63,28.39,72.76
MI2600001,43.1982,-82.4189,2024-06-25,22.93,27.53,18.11,1.08,13.14,81.04
MI2600001,43.1982,-82.4189,2024-06-26,21.5,25.0,16.21,3.05,12.09,85.29
MI2600001,43.1982,-82.4189,2024-06-27,16.57,20.37,13.1,5.83,28.19,69.63
MI2600001,43.1982,-82.4189,2024-06-28,18.19,23.8,11.88,0.65,8.49,70.51
MI2600001,43.1982,-82.4189,2024-06-29,23.01,26.85,18.05,10.75,18.84,88.89
MI2600001,43.1982,-82.4189,2024-06-30,16.9,21.0,12.56,0.15,15.69,73.74
MI2600001,43.1982,-82.4189,2024-07-01,17.12,22.67,10.9,0.03,30.82,68.28
MI2600001,43.1982,-82.4189,2024-07-02,19.43,24.27,12.47,0.01,15.91,66.31
MI2600001,43.1982,-82.4189,2024-07-03,23.16,27.48,18.69,0.12,17.9,79.69
MI2600001,43.1982,-82.4189,2024-07-04,23.34,27.97,17.72,0.62,17.15,75.23
MI2600001,43.1982,-82.4189,2024-07-05,23.04,26.94,18.49,2.86,16.56,76.69
MI2600001,43.1982,-82.4189,2024-07-06,21.41,24.66,18.07,4.58,19.21,81.11
MI2600001,43.1982,-82.4189,2024-07-07,21.62,26.03,15.83,2.42,26.51,75.24
MI2600001,43.1982,-82.4189,2024-07-08,23.86,28.7,18.33,0.55,22.15,71.64
MI2600001,43.1982,-82.4189,2024-07-09,23.66,26.8,20.51,3.8,20.43,79.89
MI2600001,43.1982,-82.4189,2024-07-10,20.96,25.07,18.59,34.7,3.81,89.07
MI2600001,43.1982,-82.4189,2024-07-11,20.56,24.2,17.64,15.44,27.93,81.24
MI2600001,43.1982,-82.4189,2024-07-12,22.34,26.46,17.18,0.32,18.44,71.11
MI2600001,43.1982,-82.4189,2024-07-13,24.16,28.5,19.43,0.09,25.61,70.81
MI2600001,43.1982,-82.4189,2024-07-14,23.99,27.56,20.21,0.84,18.4,83.83
MI2600001,43.1982,-82.4189,2024-07-15,24.02,27.22,21.75,2.95,20.04,88.64
MI2600001,43.1982,-82.4189,2024-07-16,24.57,27.72,20.76,15.3,21.05,86.15
MI2600001,43.1982,-82.4189,2024-07-17,21.81,25.45,18.22,1.69,22.76,77.15
MI2600001,43.1982,-82.4189,2024-07-18,18.31,21.36,15.5,0.5,25.98,73.13
MI2600001,43.1982,-82.4189,2024-07-19,20.08,24.63,13.97,0.0,27.36,64.52
MI2600001,43.1982,-82.4189,2024-07-20,20.76,25.29,14.62,0.0,26.62,69.29
MI2600001,43.1982,-82.4189,2024-07-21,21.65,25.75,17.46,0.04,19.24,78.88
MI2600001,43.1982,-82.4189,2024-07-22,21.6,26.21,17.51,0.72,19.27,72.64
MI2600001,43.1982,-82.4189,2024-07-23,22.38,26.64,17.14,1.73,19.08,74.41
MI2600001,43.1982,-82.4189,2024-07-24,21.39,24.31,18.05,4.72,15.04,84.4
MI2600001,43.1982,-82.4189,2024-07-25,20.21,23.68,16.71,0.67,26.77,71.12
MI2600001,43.1982,-82.4189,2024-07-26,20.1,25.01,15.66,0.14,28.13,64.03
MI2600001,43.1982,-82.4189,2024-07-27,21.63,27.11,16.28,0.04,27.48,61.65
MI2600001,43.1982,-82.4189,2024-07-28,22.87,28.09,16.85,0.0,27.03,59.49
MI2600001,43.1982,-82.4189,2024-07-29,22.99,25.65,19.34,1.36,13.44,79.46
MI2600001,43.1982,-82.4189,2024-07-30,24.28,27.16,21.89,3.62,18.45,86.46
MI2600001,43.1982,-82.4189,2024-07-31,24.98,29.59,20.53,3.02,23.0,81.23
MI2600001,43.1982,-82.4189,2024-08-01,25.34,29.16,20.89,2.43,20.76,79.65
MI2600001,43.1982,-82.4189,2024-08-02,24.65,27.97,21.83,4.89,16.35,81.35
MI2600001,43.1982,-82.4189,2024-08-03,23.97,27.83,21.26,13.91,23.07,77.9
MI2600001,43.1982,-82.4189,2024-08-04,24.16,28.37,18.27,0.12,17.56,69.91
MI2600001,43.1982,-82.4189,2024-08-05,22.91,27.24,20.04,1.49,13.11,79.99
MI2600001,43.1982,-82.4189,2024-08-06,19.94,22.54,17.38,11.85,9.47,78.42
MI2600001,43.1982,-82.4189,2024-08-07,20.34,25.69,16.02,7.61,26.04,68.92
MI2600001,43.1982,-82.4189,2024-08-08,21.71,26.87,15.48,0.05,20.66,77.86
MI2600001,43.1982,-82.4189,2024-08-09,20.95,24.58,17.02,0.13,23.57,71.31
MI2600001,43.1982,-82.4189,2024-08-10,18.71,22.87,14.29,0.1,18.3,69.19
MI2600001,43.1982,-82.4189,2024-08-11,19.02,23.3,15.02,0.34,15.57,70.2
MI2600001,43.1982,-82.4189,2024-08-12,19.4,24.34,13.85,0.77,24.48,70.75
MI2600001,43.1982,-82.4189,2024-08-13,21.32,26.36,16.85,1.09,21.41,65.49
MI2600001,43.1982,-82.4189,2024-08-14,21.45,26.43,17.52,0.0,21.73,65.06
MI2600001,43.1982,-82.4189,2024-08-15,21.34,26.52,16.05,0.7,20.3,65.89
MI2600001,43.1982,-82.4189,2024-08-16,22.93,26.79,19.27,4.0,8.38,79.66
MI2600001,43.1982,-82.4189,2024-08-17,22.48,25.73,19.73,7.18,12.87,88.8
MI2600001,43.1982,-82.4189,2024-08-18,21.28,24.45,19.21,4.8,9.85,84.29
MI2600001,43.1982,-82.4189,2024-08-19,17.79,20.11,14.6,3.24,11.35,70.68
MI2600001,43.1982,-82.4189,2024-08-20,16.13,19.71,12.8,2.18,21.57,65.62
MI2600001,43.1982,-82.4189,2024-08-21,17.09,21.54,13.72,1.05,20.97,66.58
MI2600001,43.1982,-82.4189,2024-08-22,18.37,23.53,11.53,2.1,22.18,62.3
MI2600001,43.1982,-82.4189,2024-08-23,19.37,24.68,14.09,0.6,21.05,66.79
MI2600001,43.1982,-82.4189,2024-08-24,21.64,26.6,15.35,0.03,21.79,62.68
MI2600001,43.1982,-82.4189,2024-08-25,22.81,28.33,17.22,0.46,20.2,72.51
MI2600001,43.1982,-82.4189,2024-08-26,25.02,30.49,19.28,0.13,20.37,68.96
MI2600001,43.1982,-82.4189,2024-08-27,25.41,30.89,20.8,2.68,16.49,76.78
MI2600001,43.1982,-82.4189,2024-08-28,22.24,26.2,17.86,8.96,10.69,83.95
MI2600001,43.1982,-82.4189,2024-08-29,21.52,26.82,17.42,0.8,15.6,76.21
MI2600001,43.1982,-82.4189,2024-08-30,23.75,29.6,17.76,0.59,14.01,80.35
MI2600001,43.1982,-82.4189,2024-08-31,22.87,26.62,19.22,4.34,21.0,74.74
MI2600001,43.1982,-82.4189,2024-09-01,19.5,23.26,15.98,2.3,21.14,67.27
MI2600001,43.1982,-82.4189,2024-09-02,16.46,19.99,13.43,0.11,23.16,61.72
MI2600001,43.1982,-82.4189,2024-09-03,17.84,23.2,12.44,0.01,22.5,49.46
MI2600001,43.1982,-82.4189,2024-09-04,18.84,25.74,12.52,0.0,20.54,62.16
MI2600001,43.1982,-82.4189,2024-09-05,21.23,27.99,14.25,0.55,20.16,70.72
MI2600001,43.1982,-82.4189,2024-09-06,18.06,21.56,13.65,2.58,6.72,80.19
MI2600001,43.1982,-82.4189,2024-09-07,13.14,15.7,10.45,8.97,11.15,72.38
MI2600001,43.1982,-82.4189,2024-09-08,14.46,20.86,7.93,0.07,19.82,67.38
MI2600001,43.1982,-82.4189,2024-09-09,17.89,24.4,13.13,0.01,18.12,72.62
MI2600001,43.1982,-82.4189,2024-09-10,18.72,24.6,13.03,0.01,19.87,72.08
MI2600001,43.1982,-82.4189,2024-09-11,20.14,26.74,13.74,0.0,17.8,73.86
MI2600001,43.1982,-82.4189,2024-09-12,21.33,28.39,16.17,0.1,17.66,66.64
MI2600001,43.1982,-82.4189,2024-09-13,21.05,27.85,15.8,0.77,18.05,68.06
MI2600001,43.1982,-82.4189,2024-09-14,20.85,28.14,14.74,0.11,17.51,70.72
MI2600001,43.1982,-82.4189,2024-09-15,21.33,28.22,15.66,0.09,18.89,69.88
MI2600001,43.1982,-82.4189,2024-09-16,20.75,27.06,14.78,0.0,18.99,68.15
MI2600001,43.1982,-82.4189,2024-09-17,20.22,27.17,13.78,0.19,18.33,68.27
MI2600001,43.1982,-82.4189,2024-09-18,21.19,27.75,15.22,1.02,17.17,74.58
MI2600001,43.1982,-82.4189,2024-09-19,21.13,27.41,15.64,0.06,17.45,73.22
MI2600001,43.1982,-82.4189,2024-09-20,21.47,27.3,16.01,0.28,10.77,68.15
MI2600001,43.1982,-82.4189,2024-09-21,21.99,27.53,16.8,0.57,17.62,73.2
MI2600001,43.1982,-82.4189,2024-09-22,20.33,24.57,17.05,2.49,6.98,76.86
MI2600001,43.1982,-82.4189,2024-09-23,18.05,21.08,15.69,4.6,6.22,85.95
MI2600001,43.1982,-82.4189,2024-09-24,19.09,22.48,15.84,2.3,6.37,87.6
MI2600001,43.1982,-82.4189,2024-09-25,19.96,23.86,16.86,1.51,7.79,82.23
MI2600001,43.1982,-82.4189,2024-09-26,18.07,22.61,14.9,1.61,12.53,76.12
MI2600001,43.1982,-82.4189,2024-09-27,18.83,23.52,14.72,0.53,14.64,64.19
MI2600001,43.1982,-82.4189,2024-09-28,20.29,25.44,16.96,2.96,10.95,78.87
MI2600001,43.1982,-82.4189,2024-09-29,20.14,24.95,17.48,2.72,11.94,81.2
MI2600001,43.1982,-82.4189,2024-09-30,19.55,25.27,14.93,0.31,14.41,79.82
MI2600002,44.0874,-86.7104,2024-05-01,10.17,11.31,8.6,6.2,24.47,78.27
MI2600002,44.0874,-86.7104,2024-05-02,9.44,11.74,7.13,3.36,13.72,85.98
MI2600002,44.0874,-86.7104,2024-05-03,11.29,13.47,9.1,7.32,26.94,73.32
MI2600002,44.0874,-86.7104,2024-05-04,9.91,11.37,8.24,7.25,22.77,91.64
MI2600002,44.0874,-86.7104,2024-05-05,7.36,9.47,6.27,2.33,28.43,90.8
MI2600002,44.0874,-86.7104,2024-05-06,10.53,13.69,8.22,0.17,27.89,75.27
MI2600002,44.0874,-86.7104,2024-05-07,9.73,11.36,8.1,22.72,13.4,86.41
MI2600002,44.0874,-86.7104,2024-05-08,9.13,10.27,8.29,0.48,24.59,91.94
MI2600002,44.0874,-86.7104,2024-05-09,9.16,10.38,8.13,2.03,15.83,86.32
MI2600002,44.0874,-86.7104,2024-05-10,8.68,10.49,6.91,4.26,27.77,82.14
MI2600002,44.0874,-86.7104,2024-05-11,8.75,10.45,7.41,0.36,22.77,86.28
MI2600002,44.0874,-86.7104,2024-05-12,10.51,13.2,8.03,0.6,22.68,84.14
MI2600002,44.0874,-86.7104,2024-05-13,10.24,12.73,8.1,1.71,19.53,87.51
MI2600002,44.0874,-86.7104,2024-05-14,8.33,9.39,7.18,1.98,27.37,83.62
MI2600002,44.0874,-86.7104,2024-05-15,8.97,9.78,7.6,0.23,28.47,84.19
MI2600002,44.0874,-86.7104,2024-05-16,10.06,11.21,8.34,2.31,15.45,91.62
MI2600002,44.0874,-86.7104,2024-05-17,11.94,13.72,10.86,0.15,27.93,90.44
MI2600002,44.0874,-86.7104,2024-05-18,12.67,13.89,11.07,0.33,28.02,88.58
MI2600002,44.0874,-86.7104,2024-05-19,12.93,13.92,12.03,0.07,28.45,72.36
MI2600002,44.0874,-86.7104,2024-05-20,12.15,13.53,10.8,16.2,11.42,84.05
MI2600002,44.0874,-86.7104,2024-05-21,13.5,16.05,10.7,4.97,20.39,86.73
MI2600002,44.0874,-86.7104,2024-05-22,13.23,15.45,11.94,1.16,10.83,81.25
MI2600002,44.0874,-86.7104,2024-05-23,12.8,14.34,11.52,0.03,27.62,79.2
MI2600002,44.0874,-86.7104,2024-05-24,13.53,15.63,10.77,6.45,19.68,78.25
MI2600002,44.0874,-86.7104,2024-05-25,12.23,15.05,10.43,4.6,30.17,78.95
MI2600002,44.0874,-86.7104,2024-05-26,12.95,15.15,11.64,19.21,11.27,81.44
MI2600002,44.0874,-86.7104,2024-05-27,11.33,12.61,10.73,2.96,9.09,93.27
MI2600002,44.0874,-86.7104,2024-05-28,11.11,11.58,10.86,2.15,18.74,92.46
MI2600002,44.0874,-86.7104,2024-05-29,11.35,11.91,10.48,0.24,30.46,81.31
MI2600002,44.0874,-86.7104,2024-05-30,11.79,13.26,10.2,0.0,31.71,70.09
MI2600002,44.0874,-86.7104,2024-05-31,13.16,14.27,11.8,0.0,29.09,73.02
MI2600002,44.0874,-86.7104,2024-06-01,12.87,13.69,12.28,13.45,11.27,89.73
MI2600002,44.0874,-86.7104,2024-06-02,14.65,16.82,11.99,0.27,28.73,81.66
MI2600002,44.0874,-86.7104,2024-06-03,14.81,15.81,13.5,7.44,20.89,86.33
MI2600002,44.0874,-86.7104,2024-06-04,15.78,17.26,14.67,2.04,20.28,93.72
MI2600002,44.0874,-86.7104,2024-06-05,16.03,17.17,14.73,11.9,17.89,87.83
MI2600002,44.0874,-86.7104,2024-06-06,14.77,15.82,13.83,1.78,20.58,83.37
MI2600002,44.0874,-86.7104,2024-06-07,14.92,16.27,13.64,0.27,25.19,77.6
MI2600002,44.0874,-86.7104,2024-06-08,14.69,15.34,13.86,5.08,11.96,84.13
MI2600002,44.0874,-86.7104,2024-06-09,13.87,16.1,11.41,0.08,19.88,80.17
MI2600002,44.0874,-86.7104,2024-06-10,12.01,12.84,11.07,0.0,31.9,72.75
MI2600002,44.0874,-86.7104,2024-06-11,12.89,14.06,11.5,0.33,21.6,74.24
MI2600002,44.0874,-86.7104,2024-06-12,15.44,16.56,13.98,1.32,24.99,85.03
MI2600002,44.0874,-86.7104,2024-06-13,17.37,19.22,15.82,6.16,21.84,83.99
MI2600002,44.0874,-86.7104,2024-06-14,15.22,15.79,14.69,0.0,28.09,81.64
MI2600002,44.0874,-86.7104,2024-06-15,16.05,17.62,13.79,0.04,23.7,76.45
MI2600002,44.0874,-86.7104,2024-06-16,17.04,17.98,15.6,4.79,10.99,81.86
MI2600002,44.0874,-86.7104,2024-06-17,18.16,19.26,17.11,2.24,21.98,94.31
MI2600002,44.0874,-86.7104,2024-06-18,18.17,19.31,17.51,0.41,24.58,89.29
MI2600002,44.0874,-86.7104,2024-06-19,18.14,22.12,16.07,0.88,23.17,90.57
MI2600002,44.0874,-86.7104,2024-06-20,15.33,16.5,14.4,4.6,10.48,91.74
MI2600002,44.0874,-86.7104,2024-06-21,16.05,17.13,15.18,5.98,11.82,93.13
MI2600002,44.0874,-86.7104,2024-06-22,17.81,19.62,16.14,48.44,7.26,96.26
MI2600002,44.0874,-86.7104,2024-06-23,17.25,19.38,15.89,3.31,24.66,87.66
MI2600002,44.0874,-86.7104,2024-06-24,17.01,17.77,15.84,4.74,27.96,83.27
MI2600002,44.0874,-86.7104,2024-06-25,19.56,21.57,17.65,17.39,23.43,83.63
MI2600002,44.0874,-86.7104,2024-06-26,17.79,19.9,15.24,0.0,23.27,82.46
MI2600002,44.0874,-86.7104,2024-06-27,15.94,16.98,15.0,0.0,29.43,66.59
MI2600002,44.0874,-86.7104,2024-06-28,17.93,19.22,16.52,7.39,5.0,88.53
MI2600002,44.0874,-86.7104,2024-06-29,19.47,21.28,15.23,4.87,25.66,84.64
MI2600002,44.0874,-86.7104,2024-06-30,15.0,16.23,13.86,0.0,28.98,71.31
MI2600002,44.0874,-86.7104,2024-07-01,16.86,17.98,15.25,0.0,29.91,66.95
MI2600002,44.0874,-86.7104,2024-07-02,17.51,18.52,16.37,13.34,8.64,79.35
MI2600002,44.0874,-86.7104,2024-07-03,19.63,21.51,17.65,3.41,26.09,83.98
MI2600002,44.0874,-86.7104,2024-07-04,19.54,20.71,18.32,0.49,16.98,83.17
MI2600002,44.0874,-86.7104,2024-07-05,18.18,19.19,17.34,10.25,14.89,89.76
MI2600002,44.0874,-86.7104,2024-07-06,17.86,18.82,17.13,0.11,20.56,88.16
MI2600002,44.0874,-86.7104,2024-07-07,18.92,20.03,17.59,0.25,21.39,85.82
MI2600002,44.0874,-86.7104,2024-07-08,19.96,21.06,18.82,2.1,20.62,89.73
MI2600002,44.0874,-86.7104,2024-07-09,19.88,20.51,19.09,0.03,23.42,85.57
MI2600002,44.0874,-86.7104,2024-07-10,18.72,19.36,18.38,7.27,18.4,90.4
MI2600002,44.0874,-86.7104,2024-07-11,19.07,19.87,18.35,0.09,23.88,89.47
MI2600002,44.0874,-86.7104,2024-07-12,21.12,22.58,19.34,0.01,25.7,76.65
MI2600002,44.0874,-86.7104,2024-07-13,21.69,22.88,20.46,1.33,27.2,74.01
MI2600002,44.0874,-86.7104,2024-07-14,22.09,23.22,21.18,10.39,24.42,94.55
